kind,step,loss
train,0,0.9243926955168851
train,1,0.9768658243446706
train,2,0.9697172613768515
train,3,0.9151302302410811
train,4,0.8801756970581841
train,5,0.8312346820918138
train,6,0.7045558773723916
train,7,0.949264651832441
train,8,0.6760589919343042
train,9,0.6488895951063206
train,10,0.5311859852711117
train,11,0.6808671615467701
train,12,0.483375871939389
train,13,0.5400006393605502
train,14,1.2847227016599025
train,15,0.9812616638981078
train,16,0.2785376635198732
train,17,0.23903820511165225
train,18,0.25037849295587605
train,19,0.2477999975872407
train,20,0.25878382340651096
train,21,1.055686074106186
train,22,0.2102119216864227
train,23,0.18029416189568323
train,24,0.15915922991473702
train,25,0.17589634586047403
train,26,0.22653338435777917
train,27,0.3030440132361826
train,28,0.37750506516800464
train,29,0.17489945257824047
train,30,0.39072500907459834
train,31,0.13151207160260625
train,32,0.938441603868144
train,33,1.1298467101477745
train,34,0.5278318826871895
train,35,0.9972979715528782
train,36,0.15190737407741145
train,37,1.1110756229040657
train,38,0.14779630941717814
train,39,0.8637044748236784
train,40,1.047740535937458
train,41,0.2612850735225892
train,42,0.39694037520292524
train,43,0.7546219971044911
train,44,0.3364966183870719
train,45,0.6810320308185823
train,46,0.9383435211132322
train,47,0.5851502289171453
train,48,0.2723240008048621
train,49,0.8701543569268119
train,50,0.724507931995476
train,51,0.31319502839119345
train,52,0.09987208441942015
train,53,0.10557392041437788
train,54,0.11713496102349266
train,55,0.9482382747764376
train,56,0.1787908676014189
train,57,0.8255597760380322
train,58,0.41179392010953325
train,59,0.1429951540606949
train,60,1.0170637993570462
train,61,0.6717592747214945
train,62,0.13163222965910304
train,63,0.4546785135384871
train,64,0.783666286049257
train,65,0.46810635455207067
train,66,0.41356416745726254
train,67,0.24873977787827958
train,68,0.16243638999945925
train,69,0.2533842203868794
train,70,0.728295511386391
train,71,0.8930800703471455
train,72,0.5591518681102152
train,73,0.12755335877346527
train,74,0.2168974441940377
train,75,0.6701949665446578
train,76,0.2373014274228607
train,77,0.2541257821285636
train,78,0.7262418530664261
train,79,1.2184481914580172
train,80,0.9828001121433978
train,81,0.12872658066370568
train,82,0.10743543593177393
train,83,0.24888731822101987
train,84,0.9123271806693727
train,85,0.9248804697347184
train,86,0.664284767201991
train,87,0.40239021449041007
train,88,0.12926805831388083
train,89,0.7925950566371192
train,90,0.6228145485521924
train,91,0.1905082902300697
train,92,0.6086963605158299
train,93,0.2603689751397109
train,94,0.1390654259487072
train,95,0.18631141203784013
train,96,0.13205170235424163
train,97,0.1427965128102775
train,98,0.3963381651978058
train,99,0.6627181582563246
train,100,0.5326131918402887
train,101,0.5459864050404211
train,102,0.6304131020833188
train,103,0.25331065843526607
train,104,0.30113162494634577
train,105,0.2703975265151499
train,106,0.7468237483185869
train,107,0.4283093748487779
train,108,0.1444122490090626
train,109,0.4513493600594935
train,110,0.10033655622641827
train,111,0.1253239551936814
train,112,0.8873060135949143
train,113,0.26479358017168364
train,114,0.5778135105843555
train,115,0.7854648708356362
train,116,0.25563763617134544
train,117,0.47348426022477536
train,118,0.28740839103412524
train,119,0.36026199712299156
train,120,0.5996822814786943
train,121,0.4479939343946241
train,122,0.5486833630919054
train,123,0.11076825468795487
train,124,0.387743377626573
train,125,0.31222817404270986
train,126,0.1669531177356611
train,127,0.171945856777854
train,128,0.13460620193686101
train,129,0.11434744989756378
train,130,0.10947178376259376
train,131,0.3388228549173039
train,132,0.3327452425414832
train,133,0.2870555959007634
train,134,0.5906883685030587
train,135,1.0854187088275802
train,136,0.09936653746030745
train,137,0.39941403971250566
train,138,0.3377745545850026
train,139,0.30902444502035575
train,140,0.09252043038439567
train,141,0.653788450730309
train,142,0.07053980177007887
train,143,0.24445911153855265
train,144,0.12068319731021568
train,145,0.35441571386674714
train,146,0.10061491998940789
train,147,0.48872247239767963
train,148,0.14840467957928366
train,149,0.7004831360417597
train,150,0.4302983988097441
train,151,0.1689973579404
train,152,0.21650864291108685
train,153,0.32379904414339755
train,154,0.08995656311256907
train,155,0.5361913870781005
train,156,0.09345373482239455
train,157,0.166417423807449
train,158,0.3742883134734515
train,159,0.1083480615170761
train,160,0.3179962821186969
train,161,0.18480519263872477
train,162,0.5742594286734947
train,163,0.37347584188794347
train,164,0.3718166325016665
train,165,0.5583003474763069
train,166,0.15512814853725446
train,167,0.28962277472701603
train,168,0.27914170803490224
train,169,0.08901138134651917
train,170,0.5090761757189919
train,171,0.6819051332547017
train,172,0.3902838393277385
train,173,0.22807037554337364
train,174,0.19313545833339102
train,175,0.12242630043290859
train,176,0.14309084714661635
train,177,0.5529113505330353
train,178,0.7865323925232373
train,179,0.24575134398943835
train,180,0.13720667816287618
train,181,0.9173953802479048
train,182,0.35062296501064016
train,183,0.7982868713367507
train,184,0.32137530708621576
train,185,0.26086502407415146
train,186,0.0921321769515577
train,187,0.10797642269385004
train,188,0.30563714267729825
train,189,0.2706270248463452
train,190,0.5495324526924732
train,191,0.6413463742686452
train,192,0.2017652097063346
train,193,0.6548617272143439
train,194,0.09352465376361326
train,195,0.40268524900534347
train,196,0.29673759351103757
train,197,0.7816875911354251
train,198,0.37626345994705873
train,199,0.1274355111067515
train,200,0.11303173269092824
train,201,0.24885697377564456
train,202,0.7479004869418757
train,203,0.1374997270898423
train,204,0.1610626085239312
train,205,1.1411108592023684
train,206,0.3522925111779259
train,207,0.29186493565876037
train,208,1.0728100846850008
train,209,0.1470520210161947
train,210,0.11577364609192047
train,211,0.7479113091843109
train,212,0.18397976011211467
train,213,0.16048388003355044
train,214,0.15911556220255169
train,215,0.9285279583611783
train,216,0.9953364473747456
train,217,0.11941421250060752
train,218,0.24269251808316164
train,219,0.4935448073108276
train,220,0.14555550033655162
train,221,0.13178987946379217
train,222,0.1706968211827223
train,223,0.8558463670608307
train,224,0.11265478816055054
train,225,0.00045387613296451627
train,226,0.11051923249217695
train,227,0.5385952339501283
train,228,0.4523579556952554
train,229,0.3100817071780989
train,230,0.16509475257144002
train,231,0.34187379004586677
train,232,0.09608383411299175
train,233,0.15616507778231703
train,234,0.12141461079040784
train,235,0.48857205693483685
train,236,0.09720826673683496
train,237,0.8587489340695103
train,238,0.6039033221592529
train,239,0.7193415420601126
train,240,0.5528768069545932
train,241,0.17639140182437957
train,242,1.0452661903899918
train,243,0.3890276885263869
train,244,0.332247953398407
train,245,0.7643817062169859
train,246,0.5786007643829721
train,247,0.15243052702003948
train,248,0.20642523139402286
train,249,0.08220138002825077
train,250,0.46838378615909254
train,251,0.1269128007055104
train,252,0.26338641080523534
train,253,0.45222334294489264
train,254,0.23522648906699709
train,255,0.25804849723795753
train,256,1.023776994404714
train,257,0.5168511911617548
train,258,0.12191142048535877
train,259,0.12317697225598574
train,260,0.10226128891913394
train,261,0.19820684253412443
train,262,0.5769260734891111
train,263,0.45984953421501784
train,264,0.46579955104576726
train,265,0.281080481302068
train,266,0.15752026753706477
train,267,0.5921880142172969
train,268,0.539095618186612
train,269,0.41091724198842605
train,270,1.0902222785560234
train,271,0.37225162171824633
train,272,0.3297866103511178
train,273,0.4805484219444589
train,274,0.30799020957981743
train,275,0.1425360681312267
train,276,0.38642183631773275
train,277,0.2558335056832551
train,278,0.26575323375459503
train,279,0.32523796652701686
train,280,0.6480457369220818
train,281,0.16934538021288464
train,282,0.6937432466531335
train,283,0.5494834334547805
train,284,0.14427766247852497
train,285,0.13030652970037565
train,286,0.32662978285557126
train,287,0.1308563565242473
train,288,0.13057479858682905
train,289,0.6584918905422028
train,290,0.318888275289839
train,291,0.8814850635039722
train,292,0.18059551080812283
train,293,0.2660257936525003
train,294,0.22684893981159787
train,295,0.3303290425260133
train,296,0.0004242776861011613
train,297,0.12747296355957188
train,298,0.7183417713114122
train,299,0.7226686754488697
train,300,0.32868596691077223
train,301,0.12873040516308723
train,302,0.17411456353907012
train,303,0.54072111650171
train,304,0.5506051914977973
train,305,0.08087861472942327
train,306,0.4969599606386735
train,307,0.49245823664514665
train,308,0.1111959821311912
train,309,0.12364180602928589
train,310,0.13931914655496475
train,311,0.7238246152344158
